NA_ITEM,GEO,TIME_PERIOD,OBS_VALUE,area
F,AT,2025-Q2,918394.0,EU-15 (bez UK)
F,BE,2025-Q2,1658582.5,EU-15 (bez UK)
F,DE,2025-Q2,9215511.0,EU-15 (bez UK)
F,DK,2025-Q2,1467708.3,EU-15 (bez UK)
F,EL,2025-Q2,377747.7,EU-15 (bez UK)
F,ES,2025-Q2,3196307.0,EU-15 (bez UK)
F,FI,2025-Q2,423533.0,EU-15 (bez UK)
F,FR,2025-Q2,7100067.0,EU-15 (bez UK)
F,IE,2025-Q2,559733.3,EU-15 (bez UK)
F,IT,2025-Q2,6072190.0,EU-15 (bez UK)
F,LU,2025-Q2,126227.3,EU-15 (bez UK)
F,NL,2025-Q2,3257051.0,EU-15 (bez UK)
F,PT,2025-Q2,571447.8,EU-15 (bez UK)
F,SE,2025-Q2,1982750.5,EU-15 (bez UK)
F2,AT,2025-Q2,345188.0,EU-15 (bez UK)
F2,BE,2025-Q2,503594.8,EU-15 (bez UK)
F2,DE,2025-Q2,3434090.0,EU-15 (bez UK)
F2,DK,2025-Q2,192998.2,EU-15 (bez UK)
F2,EL,2025-Q2,166316.0,EU-15 (bez UK)
F2,ES,2025-Q2,1110811.0,EU-15 (bez UK)
F2,FI,2025-Q2,130785.0,EU-15 (bez UK)
F2,FR,2025-Q2,2032322.0,EU-15 (bez UK)
F2,IE,2025-Q2,206433.2,EU-15 (bez UK)
F2,IT,2025-Q2,1533060.0,EU-15 (bez UK)
F2,LU,2025-Q2,54167.4,EU-15 (bez UK)
F2,NL,2025-Q2,647844.0,EU-15 (bez UK)
F2,PT,2025-Q2,254520.8,EU-15 (bez UK)
F2,SE,2025-Q2,254174.1,EU-15 (bez UK)
F3,AT,2025-Q2,38340.0,EU-15 (bez UK)
F3,BE,2025-Q2,50290.6,EU-15 (bez UK)
F3,DE,2025-Q2,214296.0,EU-15 (bez UK)
F3,DK,2025-Q2,7943.1,EU-15 (bez UK)
F3,EL,2025-Q2,9713.1,EU-15 (bez UK)
F3,ES,2025-Q2,32391.0,EU-15 (bez UK)
F3,FI,2025-Q2,2380.0,EU-15 (bez UK)
F3,FR,2025-Q2,48819.0,EU-15 (bez UK)
F3,IE,2025-Q2,2028.1,EU-15 (bez UK)
F3,IT,2025-Q2,496460.0,EU-15 (bez UK)
F3,LU,2025-Q2,4251.3,EU-15 (bez UK)
F3,NL,2025-Q2,6574.0,EU-15 (bez UK)
F3,PT,2025-Q2,5480.0,EU-15 (bez UK)
F3,SE,2025-Q2,2060.7,EU-15 (bez UK)
F5,AT,2025-Q2,378068.0,EU-15 (bez UK)
F5,BE,2025-Q2,789614.0,EU-15 (bez UK)
F5,DE,2025-Q2,2985901.0,EU-15 (bez UK)
F5,DK,2025-Q2,625109.8,EU-15 (bez UK)
F5,EL,2025-Q2,171847.0,EU-15 (bez UK)
F5,ES,2025-Q2,1522189.0,EU-15 (bez UK)
F5,FI,2025-Q2,210137.0,EU-15 (bez UK)
F5,FR,2025-Q2,2148845.0,EU-15 (bez UK)
F5,IE,2025-Q2,87718.3,EU-15 (bez UK)
F5,IT,2025-Q2,2705839.0,EU-15 (bez UK)
F5,LU,2025-Q2,48186.1,EU-15 (bez UK)
F5,NL,2025-Q2,828681.0,EU-15 (bez UK)
F5,PT,2025-Q2,220622.9,EU-15 (bez UK)
F5,SE,2025-Q2,892468.1,EU-15 (bez UK)
F51,AT,2025-Q2,273751.0,EU-15 (bez UK)
F51,BE,2025-Q2,482646.4,EU-15 (bez UK)
F51,DE,2025-Q2,1777136.0,EU-15 (bez UK)
F51,DK,2025-Q2,524042.9,EU-15 (bez UK)
F51,EL,2025-Q2,146081.6,EU-15 (bez UK)
F51,ES,2025-Q2,987355.0,EU-15 (bez UK)
F51,FI,2025-Q2,160736.0,EU-15 (bez UK)
F51,FR,2025-Q2,1741080.0,EU-15 (bez UK)
F51,IE,2025-Q2,75901.5,EU-15 (bez UK)
